sacado,valor,data_vencimento,dias_atraso
Sacado 112 Ltda,23012.5,2026-06-20,0.0
Sacado 101 Ltda,36139.68,2026-08-22,
Sacado 085 Ltda,29003.17,2026-09-19,
Sacado 077 Ltda,33791.66,2026-06-01,3.0
Sacado 006 Ltda,30938.27,2026-09-17,
Sacado 089 Ltda,136840.82,2026-04-05,0.0
Sacado 057 Ltda,12950.1,2026-05-22,43.0
Sacado 011 Ltda,8552.94,2026-08-16,
Sacado 030 Ltda,13232.51,2026-08-26,
Sacado 065 Ltda,10221.34,2026-10-11,
Sacado 087 Ltda,54044.86,2026-06-17,0.0
Sacado 061 Ltda,57314.14,2026-03-24,0.0
Sacado 073 Ltda,13779.64,2026-06-22,0.0
Sacado 104 Ltda,9775.66,2026-08-30,
Sacado 082 Ltda,22385.37,2026-04-14,0.0
Sacado 043 Ltda,90481.36,2026-04-26,0.0
Sacado 077 Ltda,3116.12,2026-06-15,7.0
Sacado 072 Ltda,45310.83,2026-06-25,0.0
Sacado 013 Ltda,12574.12,2026-06-20,17.0
Sacado 008 Ltda,68342.95,2026-07-08,0.0
Sacado 079 Ltda,12552.32,2026-07-27,
Sacado 047 Ltda,23662.99,2026-07-28,
Sacado 072 Ltda,8910.42,2026-06-15,0.0
Sacado 039 Ltda,13605.01,2026-10-14,
Sacado 027 Ltda,90099.63,2026-07-01,0.0
Sacado 018 Ltda,57323.33,2026-08-12,
Sacado 046 Ltda,21561.52,2026-08-07,
Sacado 098 Ltda,14821.91,2026-06-11,19.0
Sacado 048 Ltda,6535.17,2026-08-02,
Sacado 046 Ltda,21700.15,2026-08-18,
Sacado 069 Ltda,29006.56,2026-06-30,0.0
Sacado 117 Ltda,27799.03,2026-06-27,16.0
Sacado 047 Ltda,27583.32,2026-07-24,
Sacado 071 Ltda,12119.27,2026-06-15,35.0
Sacado 053 Ltda,28197.28,2026-08-27,
Sacado 073 Ltda,28826.81,2026-06-05,0.0
Sacado 054 Ltda,83487.29,2026-04-09,13.0
Sacado 076 Ltda,132374.03,2026-07-02,30.0
Sacado 066 Ltda,26646.39,2026-09-26,
Sacado 081 Ltda,16106.13,2026-05-19,31.0
Sacado 114 Ltda,28226.44,2026-05-25,8.0
Sacado 018 Ltda,18286.22,2026-05-10,35.0
Sacado 067 Ltda,16416.68,2026-10-02,
Sacado 053 Ltda,28369.78,2026-04-21,2.0
Sacado 043 Ltda,12904.82,2026-06-21,40.0
Sacado 029 Ltda,48285.44,2026-06-21,9.0
Sacado 007 Ltda,27360.83,2026-07-17,7.0
Sacado 048 Ltda,36315.74,2026-05-21,0.0
Sacado 099 Ltda,25684.63,2026-08-28,
Sacado 012 Ltda,16617.25,2026-09-12,
Sacado 049 Ltda,13927.66,2026-06-20,0.0
Sacado 116 Ltda,24592.07,2026-09-15,
Sacado 114 Ltda,19167.89,2026-04-15,13.0
Sacado 026 Ltda,35850.8,2026-06-01,11.0
Sacado 001 Ltda,29627.39,2026-09-22,
Sacado 080 Ltda,9998.14,2026-07-29,
Sacado 002 Ltda,31372.82,2026-04-25,21.0
Sacado 036 Ltda,10154.9,2026-09-26,
Sacado 060 Ltda,18157.12,2026-09-21,
Sacado 105 Ltda,23494.39,2026-06-04,0.0
Sacado 012 Ltda,5652.09,2026-04-29,21.0
Sacado 079 Ltda,31990.87,2026-07-15,0.0
Sacado 064 Ltda,33549.82,2026-07-22,
Sacado 016 Ltda,26201.73,2026-06-22,0.0
Sacado 101 Ltda,21174.36,2026-08-17,
Sacado 101 Ltda,22051.08,2026-08-04,
Sacado 058 Ltda,13612.84,2026-09-01,
Sacado 113 Ltda,23962.36,2026-10-08,
Sacado 073 Ltda,19108.92,2026-08-26,
Sacado 108 Ltda,31995.43,2026-04-19,61.0
Sacado 115 Ltda,11346.8,2026-03-22,0.0
Sacado 068 Ltda,35899.26,2026-10-09,
Sacado 034 Ltda,33342.07,2026-09-06,
Sacado 018 Ltda,26549.06,2026-08-07,
Sacado 067 Ltda,20923.67,2026-05-13,34.0
Sacado 023 Ltda,46252.55,2026-09-04,
Sacado 090 Ltda,7850.39,2026-04-12,0.0
Sacado 111 Ltda,42974.52,2026-08-01,
Sacado 030 Ltda,36113.79,2026-06-08,34.0
Sacado 066 Ltda,37298.23,2026-09-19,
Sacado 006 Ltda,40402.63,2026-08-11,
Sacado 022 Ltda,17625.19,2026-05-28,33.0
Sacado 045 Ltda,24159.48,2026-09-02,
Sacado 106 Ltda,49495.98,2026-08-16,
Sacado 116 Ltda,41961.65,2026-05-12,0.0
Sacado 077 Ltda,35079.43,2026-05-15,0.0
Sacado 070 Ltda,8853.28,2026-06-10,29.0
Sacado 068 Ltda,45720.85,2026-07-05,0.0
Sacado 008 Ltda,75779.02,2026-05-18,61.0
Sacado 045 Ltda,66685.13,2026-08-11,
Sacado 118 Ltda,35850.13,2026-07-09,0.0
Sacado 049 Ltda,8551.46,2026-05-02,24.0
Sacado 026 Ltda,63198.5,2026-08-15,
Sacado 029 Ltda,26428.45,2026-04-02,17.0
Sacado 085 Ltda,3920.54,2026-10-02,
Sacado 005 Ltda,40205.78,2026-09-03,
Sacado 116 Ltda,9011.55,2026-04-09,39.0
Sacado 105 Ltda,10539.1,2026-09-06,
Sacado 068 Ltda,17890.64,2026-05-29,0.0
Sacado 056 Ltda,82295.6,2026-08-07,
Sacado 091 Ltda,22099.8,2026-05-09,8.0
Sacado 066 Ltda,36930.51,2026-05-27,0.0
Sacado 057 Ltda,120375.87,2026-03-24,0.0
Sacado 039 Ltda,106427.98,2026-08-06,
Sacado 054 Ltda,27373.13,2026-07-22,
Sacado 090 Ltda,24508.69,2026-04-07,7.0
Sacado 007 Ltda,10843.31,2026-05-17,33.0
Sacado 003 Ltda,17059.01,2026-08-07,
Sacado 086 Ltda,41784.75,2026-09-04,
Sacado 045 Ltda,40806.01,2026-07-20,
Sacado 096 Ltda,32473.86,2026-04-24,27.0
Sacado 004 Ltda,65896.55,2026-07-28,
Sacado 108 Ltda,16028.21,2026-05-06,30.0
Sacado 015 Ltda,28428.25,2026-06-22,0.0
Sacado 050 Ltda,53369.48,2026-06-29,0.0
Sacado 116 Ltda,47444.54,2026-05-07,28.0
Sacado 013 Ltda,70035.44,2026-09-07,
Sacado 079 Ltda,40848.13,2026-08-20,
Sacado 087 Ltda,23213.24,2026-04-13,30.0
Sacado 051 Ltda,39725.71,2026-06-26,0.0
Sacado 010 Ltda,13332.02,2026-04-14,0.0
Sacado 063 Ltda,8009.89,2026-08-24,
Sacado 052 Ltda,47312.86,2026-06-09,0.0
Sacado 104 Ltda,28449.55,2026-06-05,0.0
Sacado 082 Ltda,38052.71,2026-05-11,0.0
Sacado 041 Ltda,7645.35,2026-04-08,14.0
Sacado 007 Ltda,22201.36,2026-04-18,0.0
Sacado 071 Ltda,18400.15,2026-07-12,23.0
Sacado 034 Ltda,14892.76,2026-08-20,
Sacado 082 Ltda,4895.09,2026-07-29,
Sacado 103 Ltda,22745.01,2026-05-07,21.0
Sacado 043 Ltda,60952.09,2026-09-30,
Sacado 108 Ltda,40327.87,2026-08-04,
Sacado 062 Ltda,18384.12,2026-09-23,
Sacado 064 Ltda,29380.87,2026-03-21,0.0
Sacado 092 Ltda,54471.89,2026-04-02,11.0
Sacado 094 Ltda,3267.13,2026-04-02,9.0
Sacado 109 Ltda,26913.16,2026-08-30,
Sacado 119 Ltda,45915.6,2026-06-06,0.0
Sacado 018 Ltda,51313.18,2026-05-14,30.0
Sacado 050 Ltda,115911.72,2026-07-24,
Sacado 112 Ltda,73720.53,2026-08-14,
Sacado 037 Ltda,38179.36,2026-06-23,0.0
Sacado 001 Ltda,37857.36,2026-06-08,0.0
Sacado 069 Ltda,55801.51,2026-06-10,52.0
Sacado 090 Ltda,19313.09,2026-05-27,12.0
Sacado 089 Ltda,28791.91,2026-06-08,7.0
Sacado 097 Ltda,61389.32,2026-07-01,61.0
Sacado 077 Ltda,142337.49,2026-05-28,14.0
Sacado 017 Ltda,26175.68,2026-07-10,0.0
Sacado 101 Ltda,28603.36,2026-08-03,
Sacado 050 Ltda,34849.15,2026-08-13,
Sacado 101 Ltda,87078.3,2026-03-22,33.0
Sacado 098 Ltda,29020.26,2026-08-01,
Sacado 116 Ltda,96325.39,2026-05-26,0.0
Sacado 002 Ltda,13720.88,2026-08-10,
Sacado 104 Ltda,25621.09,2026-10-08,
Sacado 075 Ltda,25373.68,2026-06-09,5.0
Sacado 058 Ltda,55781.89,2026-04-13,0.0
Sacado 095 Ltda,68611.01,2026-08-10,
Sacado 114 Ltda,8887.89,2026-05-29,0.0
Sacado 062 Ltda,14298.44,2026-06-01,0.0
Sacado 011 Ltda,38928.5,2026-07-28,
Sacado 087 Ltda,17554.14,2026-07-26,
Sacado 028 Ltda,8796.05,2026-03-26,12.0
Sacado 027 Ltda,68239.85,2026-06-25,0.0
Sacado 023 Ltda,44142.4,2026-06-08,19.0
Sacado 024 Ltda,44114.42,2026-07-17,0.0
Sacado 109 Ltda,20325.74,2026-07-30,
Sacado 044 Ltda,67720.94,2026-03-24,0.0
Sacado 013 Ltda,24539.32,2026-04-02,0.0
Sacado 022 Ltda,71478.23,2026-07-03,14.0
Sacado 047 Ltda,14337.99,2026-09-13,
Sacado 042 Ltda,15013.3,2026-05-06,6.0
Sacado 037 Ltda,35021.96,2026-04-14,31.0
Sacado 113 Ltda,16951.88,2026-06-10,30.0
Sacado 104 Ltda,51039.79,2026-05-16,44.0
Sacado 069 Ltda,36609.76,2026-04-05,0.0
Sacado 118 Ltda,14208.89,2026-10-01,
Sacado 041 Ltda,31517.32,2026-08-05,
Sacado 017 Ltda,22448.47,2026-09-03,
Sacado 033 Ltda,61862.3,2026-09-24,
Sacado 011 Ltda,17925.11,2026-08-01,
Sacado 114 Ltda,20924.2,2026-06-03,34.0
Sacado 027 Ltda,78353.78,2026-03-21,26.0
Sacado 053 Ltda,178237.95,2026-04-12,22.0
Sacado 025 Ltda,147149.88,2026-05-26,17.0
Sacado 117 Ltda,31275.13,2026-07-29,
Sacado 019 Ltda,35421.84,2026-08-06,
Sacado 062 Ltda,101393.77,2026-04-16,10.0
Sacado 114 Ltda,26915.35,2026-05-14,29.0
Sacado 063 Ltda,13614.91,2026-09-24,
Sacado 107 Ltda,32646.75,2026-05-21,48.0
Sacado 107 Ltda,42668.38,2026-04-15,2.0
Sacado 092 Ltda,15316.41,2026-05-11,29.0
Sacado 089 Ltda,7966.62,2026-06-04,2.0
Sacado 069 Ltda,9420.25,2026-07-03,0.0
Sacado 070 Ltda,50632.22,2026-07-02,55.0
Sacado 099 Ltda,16208.63,2026-04-12,0.0
Sacado 051 Ltda,26553.65,2026-04-14,0.0
Sacado 113 Ltda,35243.87,2026-05-03,0.0
Sacado 105 Ltda,48791.56,2026-05-26,0.0
Sacado 045 Ltda,22744.48,2026-10-09,
Sacado 049 Ltda,44310.31,2026-05-17,10.0
Sacado 086 Ltda,14587.96,2026-06-03,28.0
Sacado 110 Ltda,22261.83,2026-08-17,
Sacado 012 Ltda,13101.31,2026-05-31,13.0
Sacado 009 Ltda,73527.43,2026-10-14,
Sacado 030 Ltda,29095.34,2026-07-01,50.0
Sacado 052 Ltda,16457.79,2026-06-05,0.0
Sacado 020 Ltda,22428.83,2026-08-30,
Sacado 062 Ltda,24899.85,2026-09-03,
Sacado 065 Ltda,52073.73,2026-08-07,
Sacado 114 Ltda,8295.69,2026-04-19,4.0
Sacado 089 Ltda,12967.94,2026-05-21,0.0
Sacado 030 Ltda,21971.78,2026-07-20,
Sacado 094 Ltda,225447.97,2026-06-06,19.0
Sacado 096 Ltda,63866.04,2026-06-19,18.0
Sacado 081 Ltda,27196.37,2026-05-19,0.0
Sacado 081 Ltda,52554.17,2026-05-20,0.0
Sacado 037 Ltda,154191.24,2026-06-30,41.0
Sacado 086 Ltda,24661.65,2026-09-09,
Sacado 017 Ltda,22178.29,2026-06-05,30.0
Sacado 075 Ltda,78398.09,2026-08-24,
Sacado 110 Ltda,44149.66,2026-10-13,
Sacado 116 Ltda,50871.93,2026-04-18,25.0
Sacado 036 Ltda,19799.7,2026-10-01,
Sacado 040 Ltda,138602.1,2026-05-21,3.0
Sacado 074 Ltda,116736.28,2026-04-10,2.0
Sacado 048 Ltda,46758.82,2026-09-09,
Sacado 088 Ltda,51401.97,2026-03-22,32.0
Sacado 025 Ltda,5873.41,2026-10-15,
Sacado 021 Ltda,49521.78,2026-05-03,1.0
Sacado 007 Ltda,25456.16,2026-07-27,
Sacado 056 Ltda,42071.45,2026-05-12,13.0
Sacado 026 Ltda,51326.76,2026-09-20,
Sacado 036 Ltda,22628.53,2026-08-16,
Sacado 109 Ltda,7689.53,2026-10-13,
Sacado 097 Ltda,39906.71,2026-09-02,
Sacado 100 Ltda,16430.47,2026-08-23,
Sacado 071 Ltda,22830.32,2026-10-05,
Sacado 014 Ltda,18331.79,2026-08-03,
Sacado 089 Ltda,22623.41,2026-05-04,38.0
Sacado 072 Ltda,4686.23,2026-05-06,16.0
Sacado 109 Ltda,78712.54,2026-08-05,
Sacado 058 Ltda,36412.85,2026-06-06,59.0
Sacado 021 Ltda,72339.05,2026-08-27,
Sacado 071 Ltda,144910.77,2026-07-29,
Sacado 055 Ltda,30274.91,2026-03-29,12.0
Sacado 079 Ltda,7030.77,2026-10-01,
Sacado 045 Ltda,14543.37,2026-10-11,
Sacado 037 Ltda,11321.7,2026-05-23,4.0
Sacado 015 Ltda,19900.5,2026-05-19,57.0
Sacado 115 Ltda,31688.79,2026-06-11,0.0
Sacado 090 Ltda,5992.42,2026-09-07,
Sacado 056 Ltda,39104.01,2026-03-25,0.0
Sacado 028 Ltda,8881.4,2026-04-27,50.0
Sacado 075 Ltda,37717.98,2026-08-14,
Sacado 050 Ltda,27239.06,2026-06-16,3.0
Sacado 076 Ltda,23134.84,2026-06-22,28.0
Sacado 011 Ltda,28045.0,2026-10-03,
Sacado 022 Ltda,19306.12,2026-09-04,
Sacado 088 Ltda,18215.4,2026-04-13,0.0
Sacado 008 Ltda,7737.2,2026-05-09,0.0
Sacado 081 Ltda,29036.19,2026-05-14,8.0
Sacado 049 Ltda,130147.93,2026-08-06,
Sacado 001 Ltda,144986.52,2026-06-19,0.0
Sacado 091 Ltda,85601.16,2026-08-09,
Sacado 084 Ltda,52294.23,2026-05-07,0.0
Sacado 098 Ltda,17306.13,2026-06-26,0.0
Sacado 107 Ltda,94296.62,2026-06-05,18.0
Sacado 087 Ltda,28427.09,2026-04-29,42.0
Sacado 101 Ltda,28138.66,2026-05-02,0.0
Sacado 014 Ltda,23553.23,2026-06-13,2.0
Sacado 110 Ltda,32002.51,2026-08-10,
Sacado 109 Ltda,20990.56,2026-08-24,
Sacado 083 Ltda,27805.09,2026-08-30,
Sacado 096 Ltda,12485.47,2026-04-29,1.0
Sacado 089 Ltda,22050.03,2026-07-20,
Sacado 105 Ltda,184323.04,2026-04-08,22.0
Sacado 106 Ltda,28122.49,2026-04-17,7.0
Sacado 063 Ltda,24564.84,2026-06-26,0.0
Sacado 098 Ltda,45519.65,2026-08-14,
Sacado 109 Ltda,52391.39,2026-05-09,0.0
Sacado 036 Ltda,12197.48,2026-04-25,0.0
Sacado 006 Ltda,25191.78,2026-09-05,
Sacado 021 Ltda,61983.32,2026-07-24,
Sacado 004 Ltda,36896.43,2026-09-08,
Sacado 052 Ltda,32779.65,2026-04-08,29.0
Sacado 003 Ltda,103075.2,2026-10-05,
Sacado 031 Ltda,17288.24,2026-09-06,
Sacado 031 Ltda,31767.43,2026-09-13,
Sacado 085 Ltda,19613.1,2026-04-11,43.0
Sacado 030 Ltda,97953.35,2026-08-03,
Sacado 114 Ltda,6238.6,2026-07-12,0.0
Sacado 023 Ltda,17394.11,2026-04-29,0.0
Sacado 116 Ltda,19470.86,2026-09-29,
Sacado 068 Ltda,50555.74,2026-09-09,
Sacado 030 Ltda,48291.96,2026-09-11,
Sacado 005 Ltda,90776.47,2026-08-20,
Sacado 037 Ltda,8440.31,2026-04-27,0.0
Sacado 071 Ltda,54196.96,2026-08-24,
Sacado 013 Ltda,23514.58,2026-06-25,27.0
Sacado 020 Ltda,17457.07,2026-08-14,
Sacado 014 Ltda,45782.39,2026-07-23,
Sacado 081 Ltda,14241.11,2026-09-11,
Sacado 011 Ltda,5644.68,2026-07-07,25.0
Sacado 003 Ltda,22110.88,2026-05-22,0.0
Sacado 055 Ltda,8971.28,2026-08-07,
Sacado 037 Ltda,17691.99,2026-08-09,
Sacado 068 Ltda,40024.37,2026-05-21,48.0
Sacado 112 Ltda,38162.16,2026-07-07,21.0
Sacado 103 Ltda,105822.62,2026-08-07,
Sacado 065 Ltda,25343.47,2026-05-30,5.0
Sacado 077 Ltda,8719.65,2026-04-25,22.0
Sacado 097 Ltda,16238.21,2026-05-28,16.0
Sacado 053 Ltda,14249.72,2026-09-12,
Sacado 079 Ltda,11223.22,2026-04-22,39.0
Sacado 026 Ltda,42120.67,2026-06-11,0.0
Sacado 073 Ltda,17744.2,2026-07-02,2.0
Sacado 029 Ltda,6112.56,2026-09-03,
Sacado 023 Ltda,51924.1,2026-06-06,11.0
Sacado 091 Ltda,27196.91,2026-10-15,
Sacado 069 Ltda,39555.89,2026-06-17,72.0
Sacado 045 Ltda,32356.73,2026-06-26,7.0
Sacado 005 Ltda,49282.47,2026-09-15,
Sacado 029 Ltda,30650.83,2026-06-23,0.0
Sacado 096 Ltda,79934.43,2026-08-11,
Sacado 056 Ltda,41772.2,2026-06-03,0.0
Sacado 115 Ltda,40686.6,2026-08-10,
Sacado 108 Ltda,41270.1,2026-07-24,
Sacado 102 Ltda,9271.4,2026-10-13,
Sacado 002 Ltda,26063.51,2026-06-12,0.0
Sacado 007 Ltda,24162.25,2026-05-05,0.0
Sacado 069 Ltda,35102.84,2026-04-19,24.0
Sacado 041 Ltda,10027.08,2026-07-05,0.0
Sacado 101 Ltda,109896.23,2026-07-04,0.0
Sacado 038 Ltda,32322.24,2026-04-09,0.0
Sacado 019 Ltda,11281.8,2026-03-23,0.0
Sacado 014 Ltda,7577.13,2026-06-11,21.0
Sacado 036 Ltda,23741.27,2026-03-28,0.0
Sacado 075 Ltda,27674.31,2026-10-06,
Sacado 016 Ltda,16736.82,2026-09-02,
Sacado 095 Ltda,32006.4,2026-04-08,0.0
Sacado 037 Ltda,17801.88,2026-08-31,
Sacado 038 Ltda,46227.34,2026-08-27,
Sacado 079 Ltda,16653.35,2026-08-20,
Sacado 103 Ltda,28830.81,2026-09-18,
Sacado 052 Ltda,65060.4,2026-08-16,
Sacado 095 Ltda,232660.39,2026-07-05,0.0
Sacado 037 Ltda,13278.29,2026-08-20,
Sacado 016 Ltda,20504.38,2026-09-04,
Sacado 099 Ltda,15186.03,2026-07-21,
Sacado 092 Ltda,55684.81,2026-06-21,12.0
Sacado 090 Ltda,11867.05,2026-07-19,
Sacado 106 Ltda,20181.35,2026-06-03,0.0
Sacado 060 Ltda,29036.79,2026-06-14,0.0
Sacado 024 Ltda,13589.56,2026-07-05,5.0
Sacado 070 Ltda,13823.7,2026-08-25,
Sacado 069 Ltda,20322.86,2026-04-30,0.0
Sacado 046 Ltda,5539.44,2026-06-19,28.0
Sacado 077 Ltda,9354.54,2026-05-24,38.0
Sacado 032 Ltda,21366.35,2026-04-22,0.0
Sacado 073 Ltda,33476.02,2026-05-24,0.0
Sacado 095 Ltda,25626.75,2026-05-23,13.0
Sacado 012 Ltda,7192.72,2026-10-14,
Sacado 054 Ltda,20516.22,2026-06-10,0.0
Sacado 079 Ltda,56316.91,2026-05-30,25.0
Sacado 007 Ltda,46383.19,2026-06-12,8.0
Sacado 076 Ltda,27917.3,2026-05-08,0.0
Sacado 109 Ltda,14619.39,2026-09-28,
Sacado 099 Ltda,49265.19,2026-10-04,
Sacado 082 Ltda,18710.81,2026-06-11,0.0
Sacado 096 Ltda,11667.95,2026-04-19,7.0
Sacado 044 Ltda,15650.39,2026-03-24,0.0
Sacado 039 Ltda,94719.6,2026-10-09,
Sacado 010 Ltda,35459.41,2026-09-11,
Sacado 086 Ltda,75161.74,2026-09-16,
Sacado 038 Ltda,20262.58,2026-07-22,
Sacado 104 Ltda,62976.66,2026-08-03,
Sacado 056 Ltda,18375.93,2026-08-29,
Sacado 107 Ltda,26214.24,2026-06-18,25.0
Sacado 017 Ltda,217310.01,2026-09-10,
Sacado 020 Ltda,54924.73,2026-05-01,17.0
Sacado 042 Ltda,19911.72,2026-06-22,41.0
Sacado 004 Ltda,27782.03,2026-04-12,4.0
Sacado 059 Ltda,38598.89,2026-08-30,
Sacado 078 Ltda,78304.95,2026-04-11,0.0
Sacado 079 Ltda,20104.39,2026-07-04,0.0
Sacado 026 Ltda,7383.07,2026-06-02,0.0
Sacado 020 Ltda,23772.54,2026-10-15,
Sacado 068 Ltda,30100.84,2026-06-14,17.0
Sacado 076 Ltda,32455.67,2026-04-19,41.0
Sacado 113 Ltda,85250.74,2026-09-30,
Sacado 107 Ltda,38305.53,2026-07-14,5.0
Sacado 046 Ltda,56973.05,2026-07-11,0.0
Sacado 020 Ltda,12321.6,2026-08-01,
Sacado 031 Ltda,59535.09,2026-10-15,
Sacado 105 Ltda,159050.31,2026-03-26,6.0
Sacado 055 Ltda,55178.43,2026-08-19,
Sacado 119 Ltda,36418.95,2026-06-24,7.0
Sacado 079 Ltda,33630.56,2026-04-20,5.0
Sacado 071 Ltda,124208.12,2026-09-27,
Sacado 013 Ltda,14161.11,2026-07-15,0.0
Sacado 071 Ltda,27203.97,2026-09-28,
Sacado 046 Ltda,42966.07,2026-04-23,51.0
Sacado 101 Ltda,53916.99,2026-08-09,
Sacado 016 Ltda,20955.11,2026-03-29,43.0
Sacado 023 Ltda,38019.6,2026-10-13,
Sacado 079 Ltda,23805.28,2026-10-05,
Sacado 081 Ltda,32740.79,2026-09-22,
Sacado 099 Ltda,26750.99,2026-05-30,31.0
Sacado 063 Ltda,11928.97,2026-08-14,
Sacado 045 Ltda,29234.63,2026-04-29,0.0
Sacado 037 Ltda,59977.29,2026-09-13,
Sacado 045 Ltda,13716.92,2026-04-11,31.0
Sacado 079 Ltda,24517.11,2026-08-22,
Sacado 065 Ltda,50605.93,2026-08-04,
Sacado 036 Ltda,12633.51,2026-05-21,0.0
Sacado 026 Ltda,34410.28,2026-06-25,18.0
Sacado 085 Ltda,12732.28,2026-06-28,0.0
Sacado 030 Ltda,73696.04,2026-03-23,57.0
Sacado 025 Ltda,189142.71,2026-04-01,0.0
Sacado 040 Ltda,149912.07,2026-08-18,
Sacado 102 Ltda,24950.66,2026-08-12,
Sacado 055 Ltda,53753.24,2026-05-13,1.0
Sacado 071 Ltda,32754.58,2026-06-22,52.0
Sacado 010 Ltda,32263.27,2026-08-31,
Sacado 041 Ltda,102560.24,2026-08-10,
Sacado 090 Ltda,10349.12,2026-07-01,19.0
Sacado 092 Ltda,69163.99,2026-09-18,
Sacado 069 Ltda,28590.2,2026-07-11,3.0
Sacado 105 Ltda,91750.89,2026-03-22,30.0
Sacado 036 Ltda,34537.01,2026-06-25,17.0
Sacado 020 Ltda,17358.93,2026-05-11,0.0
Sacado 010 Ltda,37112.62,2026-08-09,
Sacado 024 Ltda,53571.56,2026-04-12,5.0
